Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Island,Time Zone,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/23/2020,ID-MA,Maluku,0,0,0,0,1,1,1,-1,Province,Maluku,Indonesia,Asia,Maluku,UTC+09:00,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,0,0.54,0.54,0.05,100,100,0,1
3/23/2020,ID-PA,Papua,0,0,0,0,2,1,2,-1,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,28,1,560,110,5411,319036,4340348,13.6,138.69603,-4.66620953,0,0.46,0.23,0.02,50,100,0,1
3/23/2020,ID-SN,Sulawesi Selatan,0,1,0,-1,2,1,5,-4,Province,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,0,0.21,0.11,0.01,50,250,1,0
3/23/2020,ID-SU,Sumatera Utara,0,0,0,0,1,1,10,-10,Province,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,0,0.07,0.07,0.01,100,1000,1,1
3/24/2020,ID-BA,Bali,0,0,0,0,2,2,3,-3,Province,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.47,0.47,0.05,100,150,1,1
3/24/2020,ID-JK,DKI Jakarta,16,19,3,-6,99,60,97,-58,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,1.48,9.13,5.53,0.55,60.6061,97.98,0,0
3/24/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,2,1,3,-2,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185,0,0.55,0.28,0.03,50,150,1,0
3/24/2020,IDN,Indonesia,106,6,0,100,685,55,30,600,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.4,2.58,0.21,0.02,8.0292,4.38,1.63,6
3/24/2020,ID-JB,Jawa Barat,2,2,2,-2,61,17,71,-27,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.04,1.35,0.38,0.04,27.8689,116.39,0.33,0.5
3/24/2020,ID-JT,Jawa Tengah,3,1,1,1,25,14,18,-7,Province,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.08,0.69,0.38,0.04,56,72,1,0
